name,mesh_id,source
"Amino Acids, Peptides, and Proteins",D000602,DrugBank
Anticoagulants,D000925,DrugBank
Antithrombin Proteins,D058833,DrugBank
Antithrombins,D000991,DrugBank
Blood and Blood Forming Organs,,DrugBank
Cardiovascular Agents,D002317,DrugBank
Enzyme Inhibitors,D004791,DrugBank
Fibrin Modulating Agents,D050299,DrugBank
Hematologic Agents,D006401,DrugBank
Peptides,D010455,DrugBank
Protease Inhibitors,D011480,DrugBank
Proteins,D011506,DrugBank
Serine Protease Inhibitors,D015842,DrugBank
Serpins,D015843,DrugBank
Thrombin Inhibitors,,DrugBank
Antibodies,D000906,DrugBank
"Antibodies, Monoclonal",D000911,DrugBank
"Antibodies, Monoclonal, Humanized",D061067,DrugBank
Antineoplastic Agents,D000970,DrugBank
"Antineoplastic Agents, Immunological",D000074322,DrugBank
Antineoplastic and Immunomodulating Agents,,DrugBank
Blood Proteins,D001798,DrugBank
Cancer immunotherapy,,DrugBank
EGFR (Epidermal Growth Factor Receptor) inhibitors,,DrugBank
Epidermal Growth Factor Receptor Antagonist,,DrugBank
Globulins,D005916,DrugBank
HER1 Antagonists,,DrugBank
Immunoglobulins,D007136,DrugBank
Immunoproteins,D007162,DrugBank
Immunotherapy,D007167,DrugBank
Monoclonal antibodies and antibody drug conjugates,,DrugBank
Narrow Therapeutic Index Drugs,,DrugBank
Serum Globulins,D012712,DrugBank
ADP Ribose Transferases,D036002,DrugBank
Bacterial Toxins,D001427,DrugBank
Biological Factors,D001685,DrugBank
CD25-directed Cytotoxin,,DrugBank
Cytotoxins,D003603,DrugBank
Enzymes and Coenzymes,D045762,DrugBank
Intercellular Signaling Peptides and Proteins,D036341,DrugBank
Interleukins,D007378,DrugBank
Recombinant Fusion Proteins,D011993,DrugBank
Recombinant Proteins,D011994,DrugBank
"Toxins, Biological",D014118,DrugBank
Agents reducing cytokine levels,,DrugBank
Anti-Inflammatory Agents,D000893,DrugBank
Antirheumatic Agents,D018501,DrugBank
Biological Products,D001688,DrugBank
Biologics for Rheumatoid Arthritis Treatment,,DrugBank
Dermatologicals,D003879,DrugBank
Disease-modifying Antirheumatic Agents,,DrugBank
Immunoglobulin Constant Regions,D007127,DrugBank
Immunoglobulin Fc Fragments,D007141,DrugBank
Immunoglobulin Fragments,D007128,DrugBank
Immunoglobulin Isotypes,D007132,DrugBank
Immunologic Factors,D007155,DrugBank
Immunosuppressive Agents,D007166,DrugBank
Membrane Proteins,D008565,DrugBank
Tumor necrosis factor alpha (TNF-alpha) inhibitors,,DrugBank
Tumor Necrosis Factor Blockers,D000079424,DrugBank
Adrenal Cortex Hormones,D000305,DrugBank
Agents Causing Muscle Toxicity,,DrugBank
"Antineoplastic Agents, Hormonal",D018931,DrugBank
Drugs causing inadvertant photosensitivity,,DrugBank
Drugs that are Mainly Renally Excreted,,DrugBank
Endocrine Therapy,,DrugBank
Fertility Agents,D005299,DrugBank
"Fertility Agents, Female",D005300,DrugBank
Gonadotropin Releasing Hormone Receptor Agonist,,DrugBank
Gonadotropin Releasing Hormone Receptor Agonists,,DrugBank
Gonadotropin-releasing hormone agonist,D007987,DrugBank
Gonadotropins,D006062,DrugBank
Hormones and Related Agents,,DrugBank
Hyperglycemia-Associated Agents,,DrugBank
Hypothalamic Hormones,D007028,DrugBank
Moderate Risk QTc-Prolonging Agents,,DrugBank
Nerve Tissue Proteins,D009419,DrugBank
Neuropeptides,D009479,DrugBank
Oligopeptides,D009842,DrugBank
Photosensitizing Agents,D017319,DrugBank
Pituitary Hormone-Releasing Hormones,D010906,DrugBank
QTc Prolonging Agents,,DrugBank
Reproductive Control Agents,D012102,DrugBank
"Adjuvants, Immunologic",D000276,DrugBank
Alcohols,D000438,DrugBank
Alfa Interferons,,DrugBank
Anti-Infective Agents,D000890,DrugBank
Antiviral Agents,D000998,DrugBank
Cardiotoxic antineoplastic agents,,DrugBank
"Compounds used in a research, industrial, or household setting",D020313,DrugBank
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DrugBank
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DrugBank
Cytochrome P-450 Enzyme Inhibitors,D065607,DrugBank
Cytokines,D016207,DrugBank
Drug Carriers,D004337,DrugBank
Ethylene Glycols,D005026,DrugBank
Glycols,D006018,DrugBank
Hepatotoxic Agents,,DrugBank
Interferon alpha,,DrugBank
Interferon Type I,D007370,DrugBank
Interferons,D007372,DrugBank
Macromolecular Substances,D046911,DrugBank
Myelosuppressive Agents,,DrugBank
Pegylated agents,,DrugBank
Polymers,D011108,DrugBank
Treatments for Hepatitis C,,DrugBank
Agents causing angioedema,,DrugBank
Endopeptidases,D010450,DrugBank
Enzymes,D004798,DrugBank
Fibrinolytic Agents,D005343,DrugBank
Hydrolases,D006867,DrugBank
Ophthalmologicals,,DrugBank
Peptide Hydrolases,D010447,DrugBank
Plasminogen Activators,D010960,DrugBank
Sensory Organs,,DrugBank
Serine Endopeptidases,D012697,DrugBank
Serine Proteases,D057057,DrugBank
Tissue Plasminogen Activator,D010959,DrugBank
"Tissue Plasminogen Activator, antagonists & inhibitors",,DrugBank
Antianemic Preparations,,DrugBank
Carbohydrates,D002241,DrugBank
Colony-Stimulating Factors,D003115,DrugBank
Erythropoiesis-Stimulating Agents,,DrugBank
Glycoconjugates,D006001,DrugBank
Glycoproteins,D006023,DrugBank
Hematinics,D006397,DrugBank
Hematopoietic Cell Growth Factors,D016298,DrugBank
Increased Erythroid Cell Production,,DrugBank
Increased Thrombolysis,,DrugBank
"Urokinase-Type Plasminogen Activator, antagonists & inhibitors",,DrugBank
Gonadotropins and Antigonadotropins,,DrugBank
Hormones,D006728,DrugBank
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DrugBank
Miscellaneous Therapeutic Agents,,DrugBank
Peptide Hormones,D036361,DrugBank
"Erythropoietin, genetics",,DrugBank
Bone Density Conservation Agents,D050071,DrugBank
"Bone Density, drug effects",,DrugBank
Calcitonin Preparations,D002116,DrugBank
Calcium Homeostasis,,DrugBank
Calcium-Regulating Hormones and Agents,D000077264,DrugBank
Parathyroid and Antiparathyroid Agents,,DrugBank
Parathyroid Hormones and Analogues,,DrugBank
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",,DrugBank
Thyroid Products,D013972,DrugBank
Interferon-alpha,D016898,DrugBank
Complex Mixtures,D045424,DrugBank
Granulocyte Colony-Stimulating Factors,D016179,DrugBank
Increased Myeloid Cell Production,,DrugBank
Leukocyte Growth Factor,,DrugBank
Granulocyte-Macrophage Colony-Stimulating Factor,D016178,DrugBank
Cytochrome P-450 CYP2C9 Inducers,D065698,DrugBank
Cytochrome P-450 CYP2C9 Inducers (weak),,DrugBank
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DrugBank
Cytochrome P-450 CYP2D6 Inhibitors (weak),,DrugBank
Cytochrome P-450 Enzyme Inducers,D065693,DrugBank
Hepatitis C,D006526,DrugBank
Amidohydrolases,D000581,DrugBank
Asparaginase,D001215,DrugBank
Asparagine-specific Enzyme,,DrugBank
Thyroxine-binding globulin inhibitors,,DrugBank
Agents used to treat hypothyroidism,,DrugBank
Anterior Pituitary Lobe Hormones and Analogues,,DrugBank
Pituitary and Hypothalamic Hormones and Analogues,,DrugBank
Pituitary Hormones,D010907,DrugBank
"Pituitary Hormones, Anterior",D010908,DrugBank
Blood Coagulation Factors,D001779,DrugBank
Disaccharides,D004187,DrugBank
Hemophilia A,D006467,DrugBank
Hemostatics,D006490,DrugBank
Human Antihemophilic Factors,,DrugBank
