drug_id,category_name,source
DB00001,"Amino Acids, Peptides, and Proteins",DrugBank
DB00001,Anticoagulants,DrugBank
DB00001,Antithrombin Proteins,DrugBank
DB00001,Antithrombins,DrugBank
DB00001,Blood and Blood Forming Organs,DrugBank
DB00001,Cardiovascular Agents,DrugBank
DB00001,Enzyme Inhibitors,DrugBank
DB00001,Fibrin Modulating Agents,DrugBank
DB00001,Hematologic Agents,DrugBank
DB00001,Peptides,DrugBank
DB00001,Protease Inhibitors,DrugBank
DB00001,Proteins,DrugBank
DB00001,Serine Protease Inhibitors,DrugBank
DB00001,Serpins,DrugBank
DB00001,Thrombin Inhibitors,DrugBank
DB00002,"Amino Acids, Peptides, and Proteins",DrugBank
DB00002,Antibodies,DrugBank
DB00002,"Antibodies, Monoclonal",DrugBank
DB00002,"Antibodies, Monoclonal, Humanized",DrugBank
DB00002,Antineoplastic Agents,DrugBank
DB00002,"Antineoplastic Agents, Immunological",DrugBank
DB00002,Antineoplastic and Immunomodulating Agents,DrugBank
DB00002,Blood Proteins,DrugBank
DB00002,Cancer immunotherapy,DrugBank
DB00002,EGFR (Epidermal Growth Factor Receptor) inhibitors,DrugBank
DB00002,Epidermal Growth Factor Receptor Antagonist,DrugBank
DB00002,Globulins,DrugBank
DB00002,HER1 Antagonists,DrugBank
DB00002,Immunoglobulins,DrugBank
DB00002,Immunoproteins,DrugBank
DB00002,Immunotherapy,DrugBank
DB00002,Monoclonal antibodies and antibody drug conjugates,DrugBank
DB00002,Narrow Therapeutic Index Drugs,DrugBank
DB00002,Proteins,DrugBank
DB00002,Serum Globulins,DrugBank
DB00004,ADP Ribose Transferases,DrugBank
DB00004,"Amino Acids, Peptides, and Proteins",DrugBank
DB00004,Antineoplastic Agents,DrugBank
DB00004,Antineoplastic and Immunomodulating Agents,DrugBank
DB00004,Bacterial Toxins,DrugBank
DB00004,Biological Factors,DrugBank
DB00004,Cancer immunotherapy,DrugBank
DB00004,CD25-directed Cytotoxin,DrugBank
DB00004,Cytotoxins,DrugBank
DB00004,Enzymes and Coenzymes,DrugBank
DB00004,Immunotherapy,DrugBank
DB00004,Intercellular Signaling Peptides and Proteins,DrugBank
DB00004,Interleukins,DrugBank
DB00004,Narrow Therapeutic Index Drugs,DrugBank
DB00004,Peptides,DrugBank
DB00004,Proteins,DrugBank
DB00004,Recombinant Fusion Proteins,DrugBank
DB00004,Recombinant Proteins,DrugBank
DB00004,"Toxins, Biological",DrugBank
DB00005,Agents reducing cytokine levels,DrugBank
DB00005,"Amino Acids, Peptides, and Proteins",DrugBank
DB00005,Anti-Inflammatory Agents,DrugBank
DB00005,Antibodies,DrugBank
DB00005,Antirheumatic Agents,DrugBank
DB00005,Biological Products,DrugBank
DB00005,Biologics for Rheumatoid Arthritis Treatment,DrugBank
DB00005,Dermatologicals,DrugBank
DB00005,Disease-modifying Antirheumatic Agents,DrugBank
DB00005,Immunoglobulin Constant Regions,DrugBank
DB00005,Immunoglobulin Fc Fragments,DrugBank
DB00005,Immunoglobulin Fragments,DrugBank
DB00005,Immunoglobulin Isotypes,DrugBank
DB00005,Immunologic Factors,DrugBank
DB00005,Immunoproteins,DrugBank
DB00005,Immunosuppressive Agents,DrugBank
DB00005,Membrane Proteins,DrugBank
DB00005,Peptides,DrugBank
DB00005,Proteins,DrugBank
DB00005,Tumor necrosis factor alpha (TNF-alpha) inhibitors,DrugBank
DB00005,Tumor Necrosis Factor Blockers,DrugBank
DB00006,"Amino Acids, Peptides, and Proteins",DrugBank
DB00006,Anticoagulants,DrugBank
DB00006,Antithrombins,DrugBank
DB00006,Blood and Blood Forming Organs,DrugBank
DB00006,Enzyme Inhibitors,DrugBank
DB00006,Hematologic Agents,DrugBank
DB00006,Peptides,DrugBank
DB00006,Protease Inhibitors,DrugBank
DB00006,Serine Protease Inhibitors,DrugBank
DB00006,Thrombin Inhibitors,DrugBank
DB00007,Adrenal Cortex Hormones,DrugBank
DB00007,Agents Causing Muscle Toxicity,DrugBank
DB00007,"Amino Acids, Peptides, and Proteins",DrugBank
DB00007,Antineoplastic Agents,DrugBank
DB00007,"Antineoplastic Agents, Hormonal",DrugBank
DB00007,Antineoplastic and Immunomodulating Agents,DrugBank
DB00007,Drugs causing inadvertant photosensitivity,DrugBank
DB00007,Drugs that are Mainly Renally Excreted,DrugBank
DB00007,Endocrine Therapy,DrugBank
DB00007,Fertility Agents,DrugBank
DB00007,"Fertility Agents, Female",DrugBank
DB00007,Gonadotropin Releasing Hormone Receptor Agonist,DrugBank
DB00007,Gonadotropin Releasing Hormone Receptor Agonists,DrugBank
DB00007,Gonadotropin-releasing hormone agonist,DrugBank
DB00007,Gonadotropins,DrugBank
DB00007,Hormones and Related Agents,DrugBank
DB00007,Hyperglycemia-Associated Agents,DrugBank
DB00007,Hypothalamic Hormones,DrugBank
DB00007,Moderate Risk QTc-Prolonging Agents,DrugBank
DB00007,Nerve Tissue Proteins,DrugBank
DB00007,Neuropeptides,DrugBank
DB00007,Oligopeptides,DrugBank
DB00007,Peptides,DrugBank
DB00007,Photosensitizing Agents,DrugBank
DB00007,Pituitary Hormone-Releasing Hormones,DrugBank
DB00007,Proteins,DrugBank
DB00007,QTc Prolonging Agents,DrugBank
DB00007,Reproductive Control Agents,DrugBank
DB00008,"Adjuvants, Immunologic",DrugBank
DB00008,Alcohols,DrugBank
DB00008,Alfa Interferons,DrugBank
DB00008,"Amino Acids, Peptides, and Proteins",DrugBank
DB00008,Anti-Infective Agents,DrugBank
DB00008,Antineoplastic Agents,DrugBank
DB00008,Antineoplastic and Immunomodulating Agents,DrugBank
DB00008,Antiviral Agents,DrugBank
DB00008,Biological Factors,DrugBank
DB00008,Cardiotoxic antineoplastic agents,DrugBank
DB00008,"Compounds used in a research, industrial, or household setting",DrugBank
DB00008,Cytochrome P-450 CYP1A2 Inhibitors,DrugBank
DB00008,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),DrugBank
DB00008,Cytochrome P-450 Enzyme Inhibitors,DrugBank
DB00008,Cytokines,DrugBank
DB00008,Drug Carriers,DrugBank
DB00008,Ethylene Glycols,DrugBank
DB00008,Glycols,DrugBank
DB00008,Hepatotoxic Agents,DrugBank
DB00008,Immunosuppressive Agents,DrugBank
DB00008,Intercellular Signaling Peptides and Proteins,DrugBank
DB00008,Interferon alpha,DrugBank
DB00008,Interferon Type I,DrugBank
DB00008,Interferons,DrugBank
DB00008,Macromolecular Substances,DrugBank
DB00008,Myelosuppressive Agents,DrugBank
DB00008,Narrow Therapeutic Index Drugs,DrugBank
DB00008,Pegylated agents,DrugBank
DB00008,Peptides,DrugBank
DB00008,Polymers,DrugBank
DB00008,Proteins,DrugBank
DB00008,Treatments for Hepatitis C,DrugBank
DB00009,Agents causing angioedema,DrugBank
DB00009,"Amino Acids, Peptides, and Proteins",DrugBank
DB00009,Anticoagulants,DrugBank
DB00009,Blood and Blood Forming Organs,DrugBank
DB00009,Blood Proteins,DrugBank
DB00009,Cardiovascular Agents,DrugBank
DB00009,Endopeptidases,DrugBank
DB00009,Enzymes,DrugBank
DB00009,Enzymes and Coenzymes,DrugBank
DB00009,Fibrin Modulating Agents,DrugBank
DB00009,Fibrinolytic Agents,DrugBank
DB00009,Hematologic Agents,DrugBank
DB00009,Hydrolases,DrugBank
DB00009,Ophthalmologicals,DrugBank
DB00009,Peptide Hydrolases,DrugBank
DB00009,Plasminogen Activators,DrugBank
DB00009,Proteins,DrugBank
DB00009,Sensory Organs,DrugBank
DB00009,Serine Endopeptidases,DrugBank
DB00009,Serine Proteases,DrugBank
DB00009,Tissue Plasminogen Activator,DrugBank
DB00009,"Tissue Plasminogen Activator, antagonists & inhibitors",DrugBank
DB00011,"Adjuvants, Immunologic",DrugBank
DB00011,"Amino Acids, Peptides, and Proteins",DrugBank
DB00011,Antineoplastic and Immunomodulating Agents,DrugBank
DB00011,Antiviral Agents,DrugBank
DB00011,Biological Factors,DrugBank
DB00011,Cytochrome P-450 CYP1A2 Inhibitors,DrugBank
DB00011,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),DrugBank
DB00011,Cytochrome P-450 Enzyme Inhibitors,DrugBank
DB00011,Cytokines,DrugBank
DB00011,Immunosuppressive Agents,DrugBank
DB00011,Intercellular Signaling Peptides and Proteins,DrugBank
DB00011,Interferon Type I,DrugBank
DB00011,Interferons,DrugBank
DB00011,Myelosuppressive Agents,DrugBank
DB00011,Peptides,DrugBank
DB00011,Proteins,DrugBank
DB00012,"Amino Acids, Peptides, and Proteins",DrugBank
DB00012,Antianemic Preparations,DrugBank
DB00012,Blood and Blood Forming Organs,DrugBank
DB00012,Carbohydrates,DrugBank
DB00012,Colony-Stimulating Factors,DrugBank
DB00012,Erythropoiesis-Stimulating Agents,DrugBank
DB00012,Glycoconjugates,DrugBank
DB00012,Glycoproteins,DrugBank
DB00012,Hematinics,DrugBank
DB00012,Hematologic Agents,DrugBank
DB00012,Hematopoietic Cell Growth Factors,DrugBank
DB00012,Increased Erythroid Cell Production,DrugBank
DB00012,Proteins,DrugBank
DB00013,Agents causing angioedema,DrugBank
DB00013,"Amino Acids, Peptides, and Proteins",DrugBank
DB00013,Anticoagulants,DrugBank
DB00013,Biological Factors,DrugBank
DB00013,Blood and Blood Forming Organs,DrugBank
DB00013,Blood Proteins,DrugBank
DB00013,Endopeptidases,DrugBank
DB00013,Enzymes,DrugBank
DB00013,Enzymes and Coenzymes,DrugBank
DB00013,Fibrinolytic Agents,DrugBank
DB00013,Hydrolases,DrugBank
DB00013,Increased Thrombolysis,DrugBank
DB00013,Peptide Hydrolases,DrugBank
