drug_id,disease_id,relationship_type,source,match_type,match_value
DB12385,MESH:D006816,therapeutic,CTD,drug_name,10-hydroxycamptothecin
DB12385,MESH:D008113,therapeutic,CTD,drug_name,10-hydroxycamptothecin
DB06813,MESH:D008228,therapeutic,CTD,drug_name,10-propargyl-10-deazaaminopterin
DB06813,MESH:D016399,therapeutic,CTD,drug_name,10-propargyl-10-deazaaminopterin
DB06813,MESH:D013262,marker/mechanism,CTD,drug_name,10-propargyl-10-deazaaminopterin
DB02365,MESH:D000014,marker/mechanism,CTD,cas_number,66-71-7
DB12110,MESH:D000544,therapeutic,CTD,cas_number,6640-24-0
DB12110,MESH:D001008,marker/mechanism,CTD,cas_number,6640-24-0
DB12110,MESH:D019970,therapeutic,CTD,cas_number,6640-24-0
DB12110,MESH:D003072,marker/mechanism,CTD,cas_number,6640-24-0
DB12110,MESH:D001068,therapeutic,CTD,cas_number,6640-24-0
DB12110,MESH:D005334,marker/mechanism,CTD,cas_number,6640-24-0
DB12110,MESH:D006948,marker/mechanism,CTD,cas_number,6640-24-0
DB12110,MESH:D006948,therapeutic,CTD,cas_number,6640-24-0
DB12110,MESH:D009771,marker/mechanism,CTD,cas_number,6640-24-0
DB12110,MESH:D012021,marker/mechanism,CTD,cas_number,6640-24-0
DB12110,MESH:D012640,marker/mechanism,CTD,cas_number,6640-24-0
DB07996,MESH:D005901,therapeutic,CTD,cas_number,84477-87-2
DB07996,MESH:D013375,therapeutic,CTD,cas_number,84477-87-2
DB06789,MESH:D001851,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D002277,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D016640,marker/mechanism,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D004714,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D016889,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D005327,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D018149,marker/mechanism,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D019584,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D006973,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D007247,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D007248,marker/mechanism,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D008106,marker/mechanism,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D009374,marker/mechanism,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D009376,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D007744,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D007752,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D015663,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D016471,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D010922,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D011230,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D011248,marker/mechanism,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D047928,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D013927,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D002581,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB06789,MESH:D014592,therapeutic,CTD,drug_name,17 alpha-Hydroxyprogesterone Caproate
DB13651,MESH:D009461,marker/mechanism,CTD,cas_number,47562-08-3
DB13651,MESH:D010300,therapeutic,CTD,cas_number,47562-08-3
DB04581,MESH:D001943,therapeutic,CTD,cas_number,4238-71-5
DB04581,MESH:D009336,therapeutic,CTD,cas_number,4238-71-5
DB04581,MESH:D009362,therapeutic,CTD,cas_number,4238-71-5
DB07954,MESH:D006930,marker/mechanism,CTD,cas_number,28822-58-4
DB07954,MESH:D007077,therapeutic,CTD,cas_number,28822-58-4
DB07954,MESH:D007248,therapeutic,CTD,cas_number,28822-58-4
DB07954,MESH:D007579,therapeutic,CTD,cas_number,28822-58-4
DB07954,MESH:D008106,therapeutic,CTD,cas_number,28822-58-4
DB07954,MESH:D013375,marker/mechanism,CTD,cas_number,28822-58-4
DB11898,MESH:D009135,marker/mechanism,CTD,cas_number,2295-31-0
DB01484,MESH:D002375,therapeutic,CTD,cas_number,32156-26-6
DB02342,MESH:D001943,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D006528,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D006332,therapeutic,CTD,cas_number,362-07-2
DB02342,MESH:D015179,therapeutic,CTD,cas_number,362-07-2
