drug_id,pathway_id,source
DB00001,SMP0000278,DrugBank
DB00002,SMP0000474,DrugBank
DB00006,SMP0000277,DrugBank
DB00009,SMP0000280,DrugBank
DB00013,SMP0000284,DrugBank
DB00015,SMP0000285,DrugBank
DB00029,SMP0000281,DrugBank
DB00031,SMP0000283,DrugBank
DB00054,SMP0000265,DrugBank
DB00063,SMP0000266,DrugBank
DB00072,SMP0000476,DrugBank
DB00086,SMP0000282,DrugBank
DB00112,SMP0000420,DrugBank
DB00116,SMP0000004,DrugBank
DB00116,SMP0000009,DrugBank
DB00116,SMP0000033,DrugBank
DB00116,SMP0000044,DrugBank
DB00116,SMP0000050,DrugBank
DB00116,SMP0000053,DrugBank
DB00116,SMP0000123,DrugBank
DB00116,SMP0000144,DrugBank
DB00116,SMP0000167,DrugBank
DB00116,SMP0000168,DrugBank
DB00116,SMP0000177,DrugBank
DB00116,SMP0000179,DrugBank
DB00116,SMP0000191,DrugBank
DB00116,SMP0000203,DrugBank
DB00116,SMP0000210,DrugBank
DB00116,SMP0000214,DrugBank
DB00116,SMP0000220,DrugBank
DB00116,SMP0000221,DrugBank
DB00116,SMP0000222,DrugBank
DB00116,SMP0000223,DrugBank
DB00116,SMP0000242,DrugBank
DB00116,SMP0000244,DrugBank
DB00116,SMP0000340,DrugBank
DB00116,SMP0000341,DrugBank
DB00116,SMP0000364,DrugBank
DB00116,SMP0000365,DrugBank
DB00116,SMP0000427,DrugBank
DB00116,SMP0000428,DrugBank
DB00116,SMP0000430,DrugBank
DB00116,SMP0000432,DrugBank
DB00116,SMP0000484,DrugBank
DB00116,SMP0000485,DrugBank
DB00116,SMP0000512,DrugBank
DB00116,SMP0000513,DrugBank
DB00116,SMP0000535,DrugBank
DB00116,SMP0000536,DrugBank
DB00116,SMP0000537,DrugBank
DB00116,SMP0000543,DrugBank
DB00116,SMP0000570,DrugBank
DB00116,SMP0000721,DrugBank
DB00116,SMP0000724,DrugBank
DB00116,SMP0002313,DrugBank
DB00118,SMP0000004,DrugBank
DB00118,SMP0000006,DrugBank
DB00118,SMP0000012,DrugBank
DB00118,SMP0000020,DrugBank
DB00118,SMP0000033,DrugBank
DB00118,SMP0000044,DrugBank
DB00118,SMP0000048,DrugBank
DB00118,SMP0000063,DrugBank
DB00118,SMP0000065,DrugBank
DB00118,SMP0000123,DrugBank
DB00118,SMP0000169,DrugBank
DB00118,SMP0000170,DrugBank
DB00118,SMP0000177,DrugBank
