drug_id,protein_id,relationship_type,actions,known_action,inhibition_strength,induction_strength,source,match_type,match_value
DB00001,BE0000048,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00001
DB00002,BE0000767,target,binder,yes,,,DrugBank,drugbank_id,DB00002
DB00002,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00002,BE0002094,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00002,BE0002095,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00002,BE0002096,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00002,BE0002097,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00002,BE0000710,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00002,BE0002098,target,binder,unknown,,,DrugBank,drugbank_id,DB00002
DB00004,BE0000658,target,ligand,yes,,,DrugBank,drugbank_id,DB00004
DB00004,BE0000651,target,ligand,yes,,,DrugBank,drugbank_id,DB00004
DB00005,BE0000704,target,inhibitor|antibody,yes,,,DrugBank,drugbank_id,DB00005
DB00005,BE0001087,target,antibody,yes,,,DrugBank,drugbank_id,DB00005
DB00005,BE0000710,target,binder,unknown,,,DrugBank,drugbank_id,DB00005
DB00005,BE0002098,target,binder,unknown,,,DrugBank,drugbank_id,DB00005
DB00005,BE0002099,target,ligand,no,,,DrugBank,drugbank_id,DB00005
DB00005,BE0002100,target,ligand,no,,,DrugBank,drugbank_id,DB00005
DB00005,BE0002097,target,binder,unknown,,,DrugBank,drugbank_id,DB00005
DB00005,BE0000901,target,binder,unknown,,,DrugBank,drugbank_id,DB00005
DB00005,BE0009995,target,ligand,no,,,DrugBank,drugbank_id,DB00005
DB00006,BE0000048,target,inhibitor,yes,,,DrugBank,drugbank_id,DB00006
DB00006,BE0001075,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00006
DB00007,BE0000203,target,agonist,yes,,,DrugBank,drugbank_id,DB00007
DB00007,BE0010526,target,activator,unknown,,,DrugBank,drugbank_id,DB00007
DB00008,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00008
DB00008,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00008
DB00008,BE0003450,target,modulator,unknown,,,DrugBank,drugbank_id,DB00008
DB00008,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00008
DB00009,BE0000211,target,activator,yes,,,DrugBank,drugbank_id,DB00009
DB00009,BE0000538,target,binder,yes,,,DrugBank,drugbank_id,DB00009
DB00009,BE0002092,target,binder,yes,,,DrugBank,drugbank_id,DB00009
DB00009,BE0000240,target,,unknown,,,DrugBank,drugbank_id,DB00009
DB00011,BE0000661,target,agonist,yes,,,DrugBank,drugbank_id,DB00011
DB00011,BE0000385,target,agonist,yes,,,DrugBank,drugbank_id,DB00011
DB00011,BE0002433,enzyme,inhibitor,unknown,unknown,,DrugBank,drugbank_id,DB00011
DB00012,BE0000654,target,agonist,yes,,,DrugBank,drugbank_id,DB00012
DB00013,BE0000211,target,activator,yes,,,DrugBank,drugbank_id,DB00013
DB00013,BE0000717,target,inducer|modulator,yes,,,DrugBank,drugbank_id,DB00013
DB00013,BE0000240,target,,unknown,,,DrugBank,drugbank_id,DB00013
DB00013,BE0000969,target,substrate|inducer,yes,,,DrugBank,drugbank_id,DB00013
DB00013,BE0000895,target,modulator,unknown,,,DrugBank,drugbank_id,DB00013
DB00013,BE0002112,target,substrate,unknown,,,DrugBank,drugbank_id,DB00013
DB00013,BE0000942,target,substrate,unknown,,,DrugBank,drugbank_id,DB00013
