drugbank_id,name,type,cas_number,unii,atc_codes,groups,indication,mechanism_of_action,smiles,inchi_key,molecular_weight,logp,pubchem_cid,chembl_id,kegg_id
DB00001,Lepirudin,biotech,138068-37-8,Y43GF64R34,B01AE02,approved|withdrawn,"Lepirudin is indicated for anticoagulation in adult patients with acute coronary syndromes (ACS) such as unstable angina and acute myocardial infarction without ST elevation. In patients with ACS, lepirudin is intended for use with [aspirin].[L41539] Lepirudin is also indicated for anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and associated thromboembolic disease in order to prevent further thromboembolic complications.[L41539]","Lepirudin is a direct thrombin inhibitor used as an anticoagulant in patients for whom heparin is contraindicated.[L41539,A3] Thrombin is a serine protease that participates in the blood-clotting cascade, and it is formed by the cleavage of pro-thrombin. Active thrombin cleaves fibrinogen and generates fibrin monomers that polymerize to form fibrin clots.[A246624]

Lepirudin binds to the catalytic and substrate-binding sites of thrombin, forming a stable, irreversible and non-covalent complex.[A246609] This blocks the protease activity of thrombin and inhibits the coagulation process. Each molecule of lepirudin binds to a single molecule of thrombin,[L41539] and unlike [heparin], it is able to inhibit thrombin in both its clot-bound or free states.[A246609]",,,,,,CHEMBL1201666,D06880
DB00002,Cetuximab,biotech,205923-56-4,PQX0D8J21J,L01FE01,approved|investigational,"Cetuximab is indicated for: 

- The treatment of locally or regionally advanced squamous cell carcinoma of the head and neck in combination with radiation therapy. 
- The treatment of recurrent locoregional disease or metastatic squamous cell carcinoma of the head and neck in combination with platinum-based therapy with [fluorouracil].  
- The treatment of recurrent or metastatic squamous cell carcinoma of the head and neck progressing after platinum-based therapy.[L30448]
- K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test in combination with FOLFIRI, a chemotherapy combination that includes [leucovorin], [fluorouracil], and [irinotecan]
- In combination with [irinotecan] in patients who are refractory to irinotecan-based chemotherapy; or as monotherapy in patients who have failed [oxaliplatin]- and irinotecan-based chemotherapy or who are intolerant to irinotecan.[L30448]
- Metastatic colorectal cancer that is BRAF V600E mutat","The epidermal growth factor receptor (EGFR) is a transmembrane glycoprotein and a type I receptor tyrosine kinase expressed on both normal and malignant cells. It has been investigated as a therapeutic target for anticancer treatment, as it is often upregulated in cancer types, including head and neck, colon, and rectal cancers.[L30448] When activated by its ligand, EGFR undergoes a conformational change and dimerization to form homodimers or heterodimers with another member of the ErbB family of receptors. Dimerization of EGFR activates the intracellular tyrosine kinase region of EGFR and promotes autophosphorylation, initiating a series of downstream signalling cascades, including cell differentiation, proliferation, migration, angiogenesis, and apoptosis. This EGFR signalling pathway is often dysregulated in cancer cells, leading to aberrant cell growth and enhanced cell survival.[L31418]

Cetuximab is a monoclonal antibody that binds specifically to the EGFR on both normal and tu",,,,,,CHEMBL1201577,D03455
DB00004,Denileukin diftitox,biotech,173146-27-5,25E79B5CTM,L01XX29,approved|investigational,Denileukin diftitox was previously indicated for the treatment of adult patients with persistent or recurrent cutaneous T-cell lymphoma (CTCL) whose malignant cells express the CD25 component of the IL-2 receptor.[L26381] It is also indicated for the treatment of adult patients with relapsed or refractory Stage I-III CTCL after at least one prior systemic therapy.[L51254],"Denileukin diftitox is a fusion protein composed of truncated diphtheria toxin (DT), which is a cytocidal moiety, and the full-length sequence of interleukin-2 (IL-2), which acts as a ligand for the IL-2 receptor.[A264344] Denileukin diftitox is reported to bind to a high- or intermediate-affinity receptor.[A264344] Once the drug molecule binds to the IL-2 receptor, denileukin diftitox is internalized via receptor-mediated endocytosis in an acidified vesicle.[A15, A264344] After uptake into the cell, denileukin diftitox is proteolytically cleaved within the endosomes to release the enzymatically active portion of the DT. DT is translocated across the endosomal membrane into the cytosol to inhibit protein synthesis via ADP-ribosylation of elongation factor-2, ultimately resulting in cell death.
The fragment of DT is translocated across the endosomal membrane into the cytosol where it inhibits protein synthesis via ADP-ribosylation of elongation factor-2, resulting in cell death.[A26434",,,,,,CHEMBL1201550,
DB00005,Etanercept,biotech,185243-69-0,OP401G7OJC,L04AB01,approved|investigational,"Etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and in chronic moderate to severe plaque psoriasis in patients 4 years of age and older.[L14862,L45523] It is also used to manage signs and symptoms of polyarticular idiopathic arthritis and Juvenile Psoriatic Arthritis in those aged 2 years and older. Etanercept is also used to manage the symptoms of psoriatic arthritis and ankylosing spondylitis.[L48526]","There are two distinct receptors for TNF (TNFRs), a 55 kilodalton protein (p55) and a 75 kilodalton protein (p75). The biological activity of TNF is dependent upon binding to either cell surface receptor (p75 or p55).[A216522] Etanercept is a dimeric soluble form of the p75 TNF receptor that can bind to two TNF molecules, thereby effectively removing them from circulation. Notably, etancerpt is only capable of binding to the active trimeric form of TNF as its binding site is located in the cleft between subunits.[A77626]TNF is a naturally occurring cytokine that is involved in normal inflammatory and immune responses.[A216522] Increased levels of TNF are found in tissues and fluids of those with rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and plaque psoriasis.",,,,,,CHEMBL1201572,D00742
DB00006,Bivalirudin,small molecule,128270-60-0,TN9BEX005G,B01AE06,approved|investigational,"For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned.","Inhibits the action of thrombin by binding both to its catalytic site and to its anion-binding exosite. Thrombin is a serine proteinase that plays a central role in the thrombotic process, acting to cleave fibrinogen into fibrin monomers and to activate Factor XIII to Factor XIIIa, allowing fibrin to develop a covalently cross-linked framework which stabilizes the thrombus; thrombin also activates Factors V and VIII, promoting further thrombin generation, and activates platelets, stimulating aggregation and granule release.",CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,OIRCOABEOLEUMC-GEJPAHFPSA-N,2180.2853,-14,16129704,CHEMBL2103749,D03136
DB00007,Leuprolide,biotech,53714-56-0,EFY6W0M8TG,L02AE51|L02AE02,approved|investigational,"Leuprolide is indicated for the treatment of advanced prostate cancer [L13781, L34415] and as palliative treatment of advanced prostate cancer.[L13790] 

It is also used for the treatment of pediatric patients with central precocious puberty (CPP).[L13784, L13787] 

In combination with oral [norethisterone] (also known as norethindrone), leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.[L10310] Finally, in combination with iron supplementation, leuprolide is indicated for the preoperative hematological improvement of anemic patients with uterine leiomyomata (uterine fibroids).[L13814]","Gonadotropin-releasing hormone (GnRH) is a naturally occurring decapeptide that modulates the hypothalamic-pituitary-gonadal (HPG) axis. GnRH binds to corresponding receptors (GnRHRs) on the anterior pituitary gonadotropes, which in turn release luteinizing hormone (LH) and follicle-stimulating hormone (FSH); these, in turn, affect the downstream synthesis and release of the sex hormones testosterone, dihydrotestosterone, estrone, and estradiol.[A203126, A203132]

Despite the variety of conditions indicated for treatment with leuprolide, the mechanism of action underlying efficacy is the same in all cases. As a GnRHR agonist, leuprolide binds to and initially activates downstream LH and FSH release; this initial spike in gonadotropin levels is responsible for some of the adverse effects associated with treatment. After 2-4 weeks of treatment, continuous stimulation of GnRHR results in feedback inhibition and significant downregulation of LH, FSH, and their corresponding downstream ef",,,,,,CHEMBL1201199,D08113
DB00008,Peginterferon alfa-2a,biotech,198153-51-4,Q46947FE7K,L03AB11|L03AB61,approved|investigational,"Peginterferon alfa-2a is indicated for the treatment of HCV in combination with other antiviral drugs in patients over 5 years of age with compensated liver disease [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

Peginterferon alfa-2a is also indicated as a monotherapy for adult patients with HBeAg positive and HBeAg negative chronic hepatitis B infection who have compensated liver disease and evidence of viral replication and liver inflammation [FDA Label].",Peginterferon alfa-2a is derived from recombinant human interferon's alfa-2a moeity [FDA Label]. It binds to and activates human type 1 interferon receptors causing them to dimerize. This activates the JAK/STAT pathway. Activation of the JAK/STAT pathway increases expression of multiple genes in multiple tissues involved in the innate antiviral response.,,,,,,CHEMBL1201560,
DB00009,Alteplase,biotech,105857-23-6,1RXS4UE564,B01AD02|S01XA13,approved|investigational,"Alteplase is indicated for the treatment of acute ischemic stroke (AIS) and for use in acute myocardial infarction (AMI) for the reduction of mortality and incidence of heart failure. Alteplase is also indicated for the lysis of acute massive pulmonary embolism, defined as acute pulmonary emboli obstructing blood flow to a lobe or multiple lung segments, and acute pulmonary emboli accompanied by unstable hemodynamics.[L43125]","Alteplase is a recombinant tissue plasminogen activator (rt-PA) that converts plasminogen to plasmin in a fibrin-dependent process. In the absence of fibrin, alteplase converts a limited amount of plasminogen. However, in the presence of fibrin clots, alteplase binds to fibrin and cleaves the arginine-valine bond at positions 560 and 561 of plasminogen, converting it into its active form, plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus and promotes clot dissolution.[A252270] Alteplase initiates local fibrinolysis with limited systemic proteolysis.[L43125]",,,,,,CHEMBL1201593,D02837
DB00011,Interferon alfa-n1,biotech,74899-72-2,41697D4Z5C,L03AB06,approved|withdrawn,For the treatment of venereal or genital warts caused by the Human Papiloma Virus.,"Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which, upon dimerization, activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). These transphosphorylate themselves and phosphorylate the receptors. The phosphorylated INFAR receptors then bind to Stat1 and Stat2 (signal transducers and activators of transcription)which dimerize and activate multiple (~100) immunomodulatory and antiviral proteins. Interferon alpha binds less stably to type I interferon receptors than interferon beta.",,,,,,CHEMBL2108509,
DB00012,Darbepoetin alfa,biotech,209810-58-2,15UQ94PT4P,B03XA02,approved|investigational,For the treatment of anemia (from renal transplants or certain HIV treatment),"Darbepoetin alfa stimulates erythropoiesis by the same mechanism as endogenous erythropoietin. Erythropoietin interacts with
progenitor stem cells to increase red cell production. Binding of erythropoietin to the erythropoietin receptor leads to receptor dimerization, which facilitates activation of JAK-STAT signaling pathways within the cytosol. Activated STAT (signal transducers and activators of transcription) proteins are then translocated to the nucleus where they serve as transcription factors which regulate the activation of specific genes involved in cell division or differentiation.",,,,,,CHEMBL1201566,
