smpdb_id,name,category,enzymes,source
SMP0000278,Lepirudin Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000474,Cetuximab Action Pathway,drug_action,P00533,DrugBank
SMP0000277,Bivalirudin Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000280,Alteplase Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000284,Urokinase Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000285,Reteplase Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000281,Anistreplase Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000283,Tenecteplase Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000265,Abciximab Action Pathway,drug_action,P05106|P08514,DrugBank
SMP0000266,Eptifibatide Action Pathway,drug_action,P05106|P08514,DrugBank
SMP0000476,Trastuzumab Action Pathway,drug_action,P00533,DrugBank
SMP0000282,Streptokinase Action Pathway,drug_action,P00451|P00488|P00734|P00740|P00742|P00747|P00748|P00750|P02452|P02671|P02675|P02679|P03951|P03952|P05160|P08709|P12259|P13726|P38435|Q9BQB6,DrugBank
SMP0000420,Bevacizumab Action Pathway,drug_action,P15692|P17948|P35968,DrugBank
SMP0000004,Glycine and Serine Metabolism,metabolic,O43175|O75600|P05091|P09622|P13196|P20132|P21397|P21549|P23378|P32929|P34896|P34897|P35520|P41250|P48728|P49591|P50440|P78330|Q14353|Q14749|Q8IVS8|Q93088|Q9GZT4|Q9UI17|Q9UL12|Q9Y617,DrugBank
SMP0000009,Ammonia Recycling,metabolic,P00367|P08243|P09622|P20132|P23378|P23434|P31327|P42357|P48728|Q7L266|Q9UI32,DrugBank
SMP0000033,Methionine Metabolism,metabolic,P17707|P19623|P23526|P26358|P31153|P32929|P34896|P35520|P42898|P56192|Q13126|Q8IXL7|Q8NE62|Q93088|Q96DP5|Q96RQ9|Q99707|Q9NZL9|Q9Y3D2,DrugBank
SMP0000044,Histidine Metabolism,metabolic,A5YM72|O60678|O95954|P05091|P12081|P19113|P19801|P21397|P30838|P42357|P49590|P50135|Q8N4J0|Q96KN2|Q96KP4|Q96N76|Q96NU7,DrugBank
SMP0000050,Purine Metabolism,metabolic,O15067|O75356|O75414|P00491|P00492|P00568|P00813|P07741|P10599|P20839|P21108|P22102|P22234|P23109|P23921|P30520|P30566|P31350|P31939|P33402|P36959|P47989|P49902|P49915|P50583|Q02153|Q06203|Q08499|Q16774|Q16854|Q5MY95|Q8NBU5|Q96PN6|Q9BY32|Q9UKK9|Q9Y233|Q9Y2T3,DrugBank
SMP0000053,Folate Metabolism,metabolic,O75891|O95954|P00374|P11586|P13995|P42898|P49914|Q05932|Q6UB35|Q92820|Q96DP5|Q96NT5,DrugBank
