umls_cui,name,meddra_type,source
C0000729,Abdominal cramps,LLT,SIDER
C0000737,Abdominal pain,LLT,SIDER
C0002418,Amblyopia,LLT,SIDER
C0002871,Anaemia,LLT,SIDER
C0003123,Anorexia,LLT,SIDER
C0003467,Anxiety,LLT,SIDER
C0003811,Arrhythmia,LLT,SIDER
C0004093,Asthenia,LLT,SIDER
C0004238,Atrial fibrillation,LLT,SIDER
C0004604,Back pain,LLT,SIDER
C0006277,Bronchitis,LLT,SIDER
C0007222,Cardiovascular disorder,LLT,SIDER
C0008031,Chest pain,LLT,SIDER
C0009450,Infection,LLT,SIDER
C0009806,Constipation,LLT,SIDER
C0010200,Cough,LLT,SIDER
C0011570,Depression,LLT,SIDER
C0011991,Diarrhoea,LLT,SIDER
C0012833,Dizziness,LLT,SIDER
C0013378,Dysgeusia,LLT,SIDER
C0013395,Dyspepsia,LLT,SIDER
C0013404,Dyspnoea,LLT,SIDER
C0015230,Rash,LLT,SIDER
C0015397,Eye disorder,LLT,SIDER
C0015967,Body temperature increased,LLT,SIDER
C0017152,Gastritis,LLT,SIDER
C0017178,Gastrointestinal disorder,LLT,SIDER
C0018681,Headache,LLT,SIDER
C0019080,Haemorrhage,LLT,SIDER
C0020437,Hypercalcaemia,LLT,SIDER
C0020461,Hyperkalaemia,LLT,SIDER
C0020517,Hypersensitivity,LLT,SIDER
C0020538,Hypertension,LLT,SIDER
C0020649,Hypotension,LLT,SIDER
C0021400,Influenza,LLT,SIDER
C0023218,Cramps of lower extremities,LLT,SIDER
C0025222,Melaena,LLT,SIDER
C0026826,Hypertonia,LLT,SIDER
C0027497,Nausea,LLT,SIDER
C0030193,Pain,LLT,SIDER
C0030252,Palpitations,LLT,SIDER
C0030517,Parathyroid disorder,LLT,SIDER
C0030554,Paraesthesia,LLT,SIDER
C0031350,Pharyngitis,LLT,SIDER
C0033774,Pruritus,LLT,SIDER
C0035078,Renal failure,LLT,SIDER
C0035455,Rhinitis,LLT,SIDER
C0036572,Convulsion,LLT,SIDER
C0037199,Sinusitis,LLT,SIDER
C0039231,Tachycardia,LLT,SIDER
C0042029,Urinary tract infection,LLT,SIDER
C0042373,Angiopathy,LLT,SIDER
C0042571,Vertigo,LLT,SIDER
C0042963,Vomiting,LLT,SIDER
C0043094,Weight increased,LLT,SIDER
C0043096,Weight decreased,LLT,SIDER
C0085595,Body odor,LLT,SIDER
C0085649,Oedema peripheral,LLT,SIDER
C0151735,Injection site reaction,LLT,SIDER
C0151736,Accidental injury,LLT,SIDER
C0152020,Gastric atony,LLT,SIDER
C0231528,Myalgia,LLT,SIDER
C0426576,Gastrointestinal symptom NOS,LLT,SIDER
C0522055,Electrocardiogram abnormal,LLT,SIDER
C0546817,Fluid overload,LLT,SIDER
C0917801,Insomnia,LLT,SIDER
