drug_name,drugbank_id,atc_code,atc_level_3,atc_level_4,is_cardiovascular,degree_centrality,weighted_degree,betweenness_centrality,pri_score,contraindicated_count,major_count,moderate_count,minor_count
procaine,DB00721,"['N01BA52', 'C05AD05', 'S01HA05', 'N01BA02']",['N0,['N01,True,0.5471829353118479,1.0,0.8143531009969929,0.8433739811460046,2164,195,0,1
indomethacin,DB00328,"['S01CC02', 'M01AB51', 'S01BC01', 'M02AA23', 'M01AB01', 'C01EB03']",['S0,['S01,True,0.4690470670067239,0.7863600799791359,0.702613184266459,0.7172589130164101,1310,713,0,0
lidocaine,DB00281,"['S01HA07', 'D04AB01', 'R02AD02', 'C01BB01', 'S02DA01', 'N01BB52', 'C05AD01', 'N01BB02']",['S0,['S01,True,0.4878274982610712,0.8520820655481178,0.5157713368112519,0.7136611418200903,1627,476,0,1
benzocaine,DB01086,"['C05AD03', 'R02AD01', 'D04AB04', 'N01BA05']",['C0,['C05,True,0.45536749362392764,0.799182821872555,0.3922052422986228,0.6660754466352122,1548,415,0,1
quinidine,DB00908,"['C01BA01', 'C01BA51', 'C01BA71']",['C0,['C01,True,0.5543705077672154,0.8393897244197166,0.23890045521562844,0.6401030606558884,858,1533,0,0
cinchocaine,DB00527,"['D04AB02', 'S01HA06', 'S02DA04', 'N01BB06', 'C05AD04']",['D0,['D04,True,0.41687920241131465,0.7754064157176389,0.1819773911833368,0.6212766918751437,1753,44,0,1
sotatercept,DB12118,['C02KX06'],['C0,['C02,True,0.23324831903547416,0.3973745979309745,1.0,0.6047113378657951,704,300,0,2
disopyramide,DB00280,['C01BA03'],['C0,['C01,True,0.4595409227915604,0.7467617143353907,0.16898020160530058,0.589410088044088,1102,880,0,0
warfarin,DB00682,['B01AA03'],['B0,['B01,True,0.4806399258057037,0.7212466313135704,0.24666658670424513,0.5859758265365631,696,1376,0,1
dexamethasone,DB01234,"['R01AD53', 'D07XB05', 'R01AD03', 'D10AA03', 'S01CB01', 'S02CA06', 'S03CA01', 'C05AA09', 'S01CA01', 'D07CB04', 'H02AB02', 'S01BA01', 'A01AC02', 'S03BA01', 'D07AB19', 'S02BA06']",['R0,['R01,True,0.406909343844192,0.6410501608276102,0.4001108722494012,0.5841500287446814,823,931,0,1
tetracaine,DB09085,"['C05AD02', 'N01BA03', 'D04AB06', 'N01BA53', 'S01HA03']",['C0,['C05,True,0.3760723394389056,0.7024254542293314,0.14415044346919775,0.5826510256053494,1604,17,0,1
oxethazaine,DB12532,['C05AD06'],['C0,['C05,True,0.3767679109668444,0.6996870381639573,0.12277655007521801,0.5762995530520957,1576,48,0,1
hydrochlorothiazide,DB00999,"['C09BX03', 'C03AX01', 'C03AB03', 'C09DX03', 'C03EA01', 'C09DX06', 'C09XA52', 'G01AE10', 'C09DX01', 'C03AA03', 'C09XA54', 'C09DX08', 'C09DX07']",['C0,['C09,True,0.45212149316021333,0.7378075284708336,0.12081420415786444,0.5761508572782609,1110,839,0,1
pramocaine,DB09345,"['D04AB07', 'C05AD07']",['D0,['D04,True,0.3716670530952933,0.6950795444666609,0.11630693476219828,0.5740937790060616,1592,10,0,1
pindolol,DB00960,"['C07CA03', 'C07AA03']",['C0,['C07,True,0.46927892418270345,0.7532817525862818,0.08119252627003831,0.57359908618624,1062,958,0,4
verapamil,DB00661,"['C09BB10', 'C08DA51', 'C08DA01']",['C0,['C09,True,0.4878274982610712,0.744631835173433,0.12065336073043068,0.5730298539173763,803,1300,0,1
penbutolol,DB01359,"['C07CA23', 'C07AA23']",['C0,['C07,True,0.46881520983074426,0.7471963835521168,0.07990047822443332,0.5698799051563384,1020,998,0,4
nicardipine,DB00622,['C08CA04'],['C0,['C08,True,0.46881520983074426,0.7477179866121881,0.07739089956269125,0.5696828382945336,1018,1003,0,1
clonidine,DB00575,"['S01EA04', 'C02LC01', 'C02AC01', 'N02CX02', 'C02LC51']",['S0,['S01,True,0.4379782054254579,0.7154655307311136,0.12201692012600351,0.5663777216522492,1081,807,0,1
amiodarone,DB01118,['C01BD01'],['C0,['C01,True,0.4474843496406214,0.6776058419542728,0.23760763024300535,0.5646044178585097,695,1234,0,1
propranolol,DB00571,"['C07FX01', 'C07AA05', 'C07BA05']",['C0,['C07,True,0.485045212149316,0.7252021211857776,0.10663561598965729,0.5595276476770358,686,1403,0,3
abciximab,DB00054,['B01AC13'],['B0,['B01,True,0.22837931833990263,0.41954272798400416,0.6320895229198017,0.5543501718534773,919,66,0,0
isradipine,DB00270,['C08CA03'],['C0,['C08,True,0.4801762114537445,0.733678170911936,0.04249768250292979,0.5524012656496744,796,1274,0,1
reserpine,DB00206,"['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52']",['C0,['C02,True,0.43542777648968234,0.7020777188559506,0.08405921573107027,0.5513080773663144,1004,873,0,1
oxprenolol,DB01580,"['C07BA02', 'C07AA02', 'C07CA02']",['C0,['C07,True,0.4185022026431718,0.693297400678084,0.07850937642647837,0.5492307735733365,1113,688,0,4
celecoxib,DB00482,"['N02AJ16', 'M01AH01', 'G01AE10', 'L01XX33', 'C08CA51']",['N0,['N02,True,0.4402967771852539,0.6937320698948101,0.08904490879054724,0.5461133815410334,889,1010,0,0
nifedipine,DB01115,"['C08CA55', 'C08GA01', 'C08CA05', 'C07FB03']",['C0,['C08,True,0.44099234871319265,0.7007737112057724,0.06543851400586742,0.545476420691361,938,963,0,1
cilostazol,DB01166,['B01AC23'],['B0,['B01,True,0.4419197774171111,0.680344258019647,0.11631881480980505,0.5431460403359839,770,1136,0,0
bendroflumethiazide,DB00436,"['C03AB01', 'C03EA13', 'G01AE10', 'C03AA01']",['C0,['C03,True,0.3964757709251101,0.6688255237764061,0.08523498166923044,0.5417697365489227,1141,568,0,1
acetylsalicylic acid,DB00945,"['B01AC06', 'C07FX04', 'C10BX04', 'M01BA03', 'C10BX02', 'N02BA71', 'B01AC56', 'N02AJ07', 'N02AJ02', 'N02BA01', 'B01AF51', 'C10BX05', 'N02BA51', 'A01AD05', 'C10BX01', 'C07FX03', 'N02AJ18', 'C10BX12', 'C10BX08', 'C10BX06', 'C07FX02']",['B0,['B01,True,0.41409691629955947,0.6610449447970095,0.12843827883241227,0.5404033078101504,904,881,0,1
acenocoumarol,DB01418,['B01AA07'],['B0,['B01,True,0.40830048690006954,0.6381813439972182,0.18212047815207755,0.5383863292428437,787,973,0,1
polythiazide,DB01324,"['C03AA05', 'G01AE10', 'C03AB05']",['C0,['C03,True,0.393693484813355,0.6603494740502478,0.08503255491378606,0.5372096360619476,1104,593,0,1
chlorothiazide,DB00880,"['C03AB04', 'G01AE10', 'C03AA04', 'C03AH01']",['C0,['C03,True,0.3876651982378855,0.657002521081457,0.08041887410816248,0.5361026249639141,1139,532,0,1
hydroflumethiazide,DB00774,"['C03AA02', 'G01AE10', 'C03AH02', 'C03AB02']",['C0,['C03,True,0.38302805471829354,0.6518299574024168,0.07791523054788663,0.5338260930147183,1146,505,0,1
trichlormethiazide,DB01021,"['G01AE10', 'C03AA06', 'C03EA02', 'C03AB06']",['G0,['G01,True,0.38302805471829354,0.6510475528123099,0.07791523054788663,0.5333189745432553,1140,511,0,1
