drug_name,pri_score,degree_component,weighted_component,betweenness_component,severity_component
procaine,0.843374,0.136796,0.3,0.162871,0.243708
indomethacin,0.717259,0.117262,0.235908,0.140523,0.223566
lidocaine,0.713661,0.121957,0.255625,0.103154,0.232925
benzocaine,0.666075,0.113842,0.239755,0.078441,0.234038
quinidine,0.640103,0.138593,0.251817,0.04778,0.201913
cinchocaine,0.621277,0.10422,0.232622,0.036395,0.248039
sotatercept,0.604711,0.058312,0.119212,0.2,0.227187
disopyramide,0.58941,0.114885,0.224029,0.033796,0.2167
warfarin,0.585976,0.12016,0.216374,0.049333,0.200109
dexamethasone,0.58415,0.101727,0.192315,0.080022,0.210085
tetracaine,0.582651,0.094018,0.210728,0.02883,0.249075
oxethazaine,0.5763,0.094192,0.209906,0.024555,0.247646
hydrochlorothiazide,0.576151,0.11303,0.221342,0.024163,0.217615
pramocaine,0.574094,0.092917,0.208524,0.023261,0.249392
pindolol,0.573599,0.11732,0.225985,0.016239,0.214056
verapamil,0.57303,0.121957,0.22339,0.024131,0.203553
penbutolol,0.56988,0.117204,0.224159,0.01598,0.212537
nicardipine,0.569683,0.117204,0.224315,0.015478,0.212685
clonidine,0.566378,0.109495,0.21464,0.024403,0.21784
amiodarone,0.564604,0.111871,0.203282,0.047522,0.20193
propranolol,0.559528,0.121261,0.217561,0.021327,0.199379
abciximab,0.55435,0.057095,0.125863,0.126418,0.244975
isradipine,0.552401,0.120044,0.220103,0.0085,0.203754
reserpine,0.551308,0.108857,0.210623,0.016812,0.215016
oxprenolol,0.549231,0.104626,0.207989,0.015702,0.220914
celecoxib,0.546113,0.110074,0.20812,0.017809,0.210111
nifedipine,0.545476,0.110248,0.210232,0.013088,0.211909
cilostazol,0.543146,0.11048,0.204103,0.023264,0.205299
bendroflumethiazide,0.54177,0.099119,0.200648,0.017047,0.224956
acetylsalicylic acid,0.540403,0.103524,0.198313,0.025688,0.212878
acenocoumarol,0.538386,0.102075,0.191454,0.036424,0.208433
polythiazide,0.53721,0.098423,0.198105,0.017007,0.223675
chlorothiazide,0.536103,0.096916,0.197101,0.016084,0.226002
hydroflumethiazide,0.533826,0.095757,0.195549,0.015583,0.226937
trichlormethiazide,0.533319,0.095757,0.195314,0.015583,0.226665
cyclopenthiazide,0.533234,0.095757,0.195275,0.015583,0.226619
guanfacine,0.532486,0.102539,0.199852,0.013504,0.216591
nilvadipine,0.526654,0.104104,0.195432,0.018502,0.208616
timolol,0.525105,0.110596,0.202369,0.008799,0.203341
alprenolol,0.523513,0.09738,0.193684,0.011422,0.221027
diltiazem,0.522913,0.108973,0.200595,0.008784,0.204561
ibuprofen,0.522015,0.097496,0.193045,0.011438,0.220036
indapamide,0.521892,0.105669,0.199735,0.006436,0.210052
phenprocoumon,0.519621,0.096742,0.184778,0.025848,0.212253
carvedilol,0.518945,0.101843,0.188116,0.023721,0.205265
labetalol,0.517709,0.108103,0.196058,0.012006,0.201542
fluocinolone acetonide,0.517682,0.089149,0.171138,0.044066,0.213329
cyclothiazide,0.515275,0.088627,0.183343,0.013416,0.229889
methyclothiazide,0.514921,0.086888,0.181583,0.014211,0.232238
triamcinolone,0.514337,0.080512,0.162818,0.046276,0.22473
buthiazide,0.511271,0.087294,0.180892,0.012806,0.230279
ketanserin,0.510099,0.079527,0.17089,0.020888,0.238794
torasemide,0.510075,0.095699,0.189159,0.005562,0.219655
indobufen,0.503691,0.087526,0.178597,0.010813,0.226755
carbaspirin calcium,0.502633,0.086773,0.17831,0.009193,0.228357
clevidipine,0.502367,0.102365,0.188703,0.006443,0.204856
cicletanine,0.500798,0.083469,0.177528,0.003447,0.236354
pargyline,0.499741,0.078484,0.1678,0.015865,0.237592
celiprolol,0.499153,0.09054,0.179079,0.009735,0.219798
furosemide,0.495485,0.089613,0.173277,0.017719,0.214877
fluindione,0.494731,0.085555,0.169625,0.019225,0.220325
dicoumarol,0.494681,0.085729,0.169704,0.019268,0.21998
digoxin,0.494107,0.098655,0.179614,0.013517,0.202321
mibefradil,0.493543,0.096916,0.182665,0.004512,0.20945
betamethasone,0.493429,0.079875,0.158841,0.033723,0.220991
metoprolol,0.492802,0.099467,0.181713,0.008606,0.203016
nisoldipine,0.491361,0.097844,0.182092,0.004613,0.206813
chlorthalidone,0.491294,0.08399,0.173616,0.003978,0.22971
mecamylamine,0.490477,0.086946,0.164422,0.028958,0.21015
dronedarone,0.488347,0.099351,0.176524,0.015025,0.197447
pentoxifylline,0.486927,0.089903,0.16896,0.019215,0.208849
felodipine,0.486398,0.09338,0.177371,0.004566,0.21108
nadolol,0.485897,0.098655,0.178636,0.007386,0.201219
epoprostenol,0.484854,0.087236,0.167422,0.016924,0.213272
talinolol,0.483865,0.092395,0.174646,0.006771,0.210053
bisoprolol,0.483854,0.102075,0.179562,0.006732,0.195486
betaxolol,0.483287,0.090772,0.171503,0.01105,0.209962
ethyl biscoumacetate,0.48151,0.079005,0.160406,0.016475,0.225624
propafenone,0.481268,0.09425,0.17209,0.012022,0.202906
eplerenone,0.480911,0.086367,0.170981,0.003563,0.22
metolazone,0.480659,0.090192,0.173016,0.004276,0.213175
diphenadione,0.480253,0.078947,0.159845,0.016461,0.225
nitrendipine,0.478797,0.085961,0.169638,0.003895,0.219302
spironolactone,0.478053,0.075296,0.161136,0.003803,0.237818
prednisolone,0.477764,0.06863,0.140116,0.042139,0.226879
caplacizumab,0.477047,0.04556,0.100774,0.084912,0.245802
conivaptan,0.475294,0.094424,0.171699,0.0071,0.202072
bepridil,0.474252,0.084106,0.166444,0.003785,0.219917
procainamide,0.474098,0.09054,0.166835,0.011954,0.20477
acebutolol,0.473716,0.086367,0.165778,0.008266,0.213305
phenindione,0.472951,0.075006,0.154303,0.015029,0.228613
tioclomarol,0.472854,0.075006,0.154264,0.015029,0.228555
clorindione,0.472562,0.075006,0.154147,0.015029,0.228381
bupranolol,0.471059,0.084918,0.164983,0.005254,0.215904
sotalol,0.468758,0.082367,0.162336,0.005036,0.219018
ifenprodil,0.468091,0.069557,0.148266,0.013393,0.236875
bumetanide,0.466667,0.079759,0.159011,0.00635,0.221548
benidipine,0.466518,0.086888,0.164879,0.003877,0.210874
mebutizide,0.464911,0.068746,0.14734,0.010651,0.238175
phenol,0.46455,0.061152,0.137534,0.015935,0.249929
lacidipine,0.463885,0.076223,0.15669,0.002531,0.228441
esmolol,0.461251,0.081788,0.158724,0.005077,0.215663
nimodipine,0.461,0.076223,0.155516,0.002531,0.22673
moricizine,0.460327,0.065847,0.144967,0.004861,0.244652
rivaroxaban,0.460098,0.087294,0.157146,0.015608,0.20005
vincamine,0.459753,0.04214,0.083065,0.115497,0.219051
ibopamine,0.457265,0.072224,0.148474,0.008116,0.228451
fluocinonide,0.456582,0.068282,0.138081,0.025495,0.224724
nitroprusside,0.455592,0.072919,0.13533,0.041103,0.20624
fluocortolone,0.455255,0.067818,0.137429,0.024815,0.225192
tolvaptan,0.454056,0.079179,0.154069,0.004574,0.216234
nylidrin,0.453896,0.070485,0.147144,0.004277,0.23199
lercanidipine,0.453311,0.07773,0.153156,0.003466,0.21896
urapidil,0.452557,0.068572,0.145032,0.003916,0.235038
nebivolol,0.451581,0.082831,0.155516,0.004592,0.208642
amiloride,0.450051,0.062428,0.138486,0.00262,0.246518
etacrynic acid,0.449313,0.074832,0.14867,0.005032,0.220778
triamterene,0.448581,0.079179,0.150665,0.00728,0.211457
treprostinil,0.448428,0.075238,0.147861,0.006936,0.218394
epinephrine,0.446793,0.075354,0.145736,0.01078,0.214923
xipamide,0.446647,0.070543,0.145201,0.002165,0.228739
prasugrel,0.446119,0.079933,0.148057,0.012292,0.205838
dobutamine,0.445949,0.077266,0.148513,0.006572,0.213597
manidipine,0.444112,0.081962,0.152778,0.00223,0.207143
methyldopa,0.443418,0.076281,0.139685,0.023956,0.203495
quinethazone,0.442433,0.063993,0.137468,0.00225,0.238723
ticlopidine,0.441412,0.085208,0.149791,0.011056,0.195357
epitizide,0.441358,0.063703,0.136816,0.002168,0.238672
finerenone,0.440371,0.071412,0.143167,0.003004,0.222788
ranolazine,0.439823,0.090192,0.153025,0.008061,0.188544
doxazosin,0.439648,0.080049,0.14777,0.006687,0.205141
barnidipine,0.439356,0.084106,0.1515,0.003578,0.200172
lisinopril,0.43903,0.076397,0.14554,0.005389,0.211703
dopamine,0.438577,0.075585,0.144106,0.007019,0.211867
droxidopa,0.43806,0.078194,0.146531,0.005088,0.208247
